worker_id,paid,task_name,batch_name,unit_id,try_current,action,time_submit,time_submit_parsed,questionnaire_index,questionnaire_position,questionnaire_allow_back,questionnaire_type,questionnaire_time_elapsed,questionnaire_accesses,question_attribute_dropped,question_attribute_index,question_attribute_indexFull,question_attribute_name,question_attribute_type,question_attribute_nameFull,question_attribute_text,question_attribute_required,question_answers_values,question_answers_labels,question_answer_value,question_answer_text
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,Next,"Tue, 16 Jan 2024 09:35:56 GMT",2024-01-16 09:35:56 00:00,0.0,start,True,standard,37.25,1.0,False,0.0,1,Age,mcq,Age,What is your age? Please select the corresponding range.,True,0:::1:::2:::3:::4:::5,Under 18:::18-24:::25-34:::35-44:::45-54:::Over 54,1,18-24
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,Next,"Tue, 16 Jan 2024 09:35:56 GMT",2024-01-16 09:35:56 00:00,0.0,start,True,standard,37.25,1.0,False,1.0,2,Gender,mcq,Gender,What is your gender? Please select the corresponding answer.,True,0:::1:::2,Male:::Female:::Prefer not to say,1,Female
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,Next,"Tue, 16 Jan 2024 09:35:56 GMT",2024-01-16 09:35:56 00:00,0.0,start,True,standard,37.25,1.0,False,2.0,3,Gaming Frequency,mcq,Gaming Frequency,How often do you play video games?,True,0:::1:::2:::3:::4,Every day:::A few times a week:::Once a month:::Rarely:::Never,4,Never
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,Next,"Tue, 16 Jan 2024 09:35:56 GMT",2024-01-16 09:35:56 00:00,0.0,start,True,standard,37.25,1.0,False,3.0,4,Reliance on Reviews,mcq,Reliance on Reviews,How likely are you to write reviews for products purchased online?,True,0:::1:::2:::3:::4,Always (for almost all products):::Often (for 80% of products):::Occasionally (for 50% of products):::Rarely (for 20% of products):::Never (I'm not interested in writing reviews),3,Rarely (for 20% of products)
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,Next,"Tue, 16 Jan 2024 09:35:56 GMT",2024-01-16 09:35:56 00:00,0.0,start,True,standard,37.25,1.0,False,4.0,5,Trust in Reviews,mcq,Trust in Reviews,How inclined are you to base the purchase of an online product on others' reviews?,True,0:::1:::2:::3:::4,"Very inclined (yes, I decisively base my choices):::Quite inclined (yes, they influence my purchase decision):::Moderately inclined (yes, I consider them but not only):::Not very inclined (no, I consider other factors):::Not at all inclined (no, they do not influence my purchase)",1,"Quite inclined (yes, they influence my purchase decision)"
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,Next,"Tue, 16 Jan 2024 09:36:05 GMT",2024-01-16 09:36:05 00:00,1.0,start,True,standard,9.36,1.0,False,0.0,1,Check,mcq,Check,"Which of these is one of the most famous game series developed by Nintendo, where the main character has a red hat and a mustache?",True,0:::1:::2:::3,Halo:::Super Mario:::Call Of Duty:::Grand Theft Auto,1,Super Mario
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,Next,"Tue, 16 Jan 2024 15:04:20 GMT",2024-01-16 15:04:20 00:00,0.0,start,True,standard,20.15,1.0,False,0.0,1,Age,mcq,Age,What is your age? Please select the corresponding range.,True,0:::1:::2:::3:::4:::5,Under 18:::18-24:::25-34:::35-44:::45-54:::Over 54,1,18-24
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,Next,"Tue, 16 Jan 2024 15:04:20 GMT",2024-01-16 15:04:20 00:00,0.0,start,True,standard,20.15,1.0,False,1.0,2,Gender,mcq,Gender,What is your gender? Please select the corresponding answer.,True,0:::1:::2,Male:::Female:::Prefer not to say,0,Male
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,Next,"Tue, 16 Jan 2024 15:04:20 GMT",2024-01-16 15:04:20 00:00,0.0,start,True,standard,20.15,1.0,False,2.0,3,Gaming Frequency,mcq,Gaming Frequency,How often do you play video games?,True,0:::1:::2:::3:::4,Every day:::A few times a week:::Once a month:::Rarely:::Never,1,A few times a week
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,Next,"Tue, 16 Jan 2024 15:04:20 GMT",2024-01-16 15:04:20 00:00,0.0,start,True,standard,20.15,1.0,False,3.0,4,Reliance on Reviews,mcq,Reliance on Reviews,How likely are you to write reviews for products purchased online?,True,0:::1:::2:::3:::4,Always (for almost all products):::Often (for 80% of products):::Occasionally (for 50% of products):::Rarely (for 20% of products):::Never (I'm not interested in writing reviews),3,Rarely (for 20% of products)
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,Next,"Tue, 16 Jan 2024 15:04:20 GMT",2024-01-16 15:04:20 00:00,0.0,start,True,standard,20.15,1.0,False,4.0,5,Trust in Reviews,mcq,Trust in Reviews,How inclined are you to base the purchase of an online product on others' reviews?,True,0:::1:::2:::3:::4,"Very inclined (yes, I decisively base my choices):::Quite inclined (yes, they influence my purchase decision):::Moderately inclined (yes, I consider them but not only):::Not very inclined (no, I consider other factors):::Not at all inclined (no, they do not influence my purchase)",1,"Quite inclined (yes, they influence my purchase decision)"
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,Next,"Tue, 16 Jan 2024 15:04:25 GMT",2024-01-16 15:04:25 00:00,1.0,start,True,standard,5.55,1.0,False,0.0,1,Check,mcq,Check,"Which of these is one of the most famous game series developed by Nintendo, where the main character has a red hat and a mustache?",True,0:::1:::2:::3,Halo:::Super Mario:::Call Of Duty:::Grand Theft Auto,1,Super Mario
B3QHTCHNCMXQ4H,True,task1,batch1,unit_0,1,Next,"Thu, 18 Jan 2024 07:39:27 GMT",2024-01-18 07:39:27 00:00,0.0,start,True,standard,9.2,1.0,False,0.0,1,Age,mcq,Age,What is your age? Please select the corresponding range.,True,0:::1:::2:::3:::4:::5,Under 18:::18-24:::25-34:::35-44:::45-54:::Over 54,1,18-24
B3QHTCHNCMXQ4H,True,task1,batch1,unit_0,1,Next,"Thu, 18 Jan 2024 07:39:27 GMT",2024-01-18 07:39:27 00:00,0.0,start,True,standard,9.2,1.0,False,1.0,2,Gender,mcq,Gender,What is your gender? Please select the corresponding answer.,True,0:::1:::2,Male:::Female:::Prefer not to say,0,Male
B3QHTCHNCMXQ4H,True,task1,batch1,unit_0,1,Next,"Thu, 18 Jan 2024 07:39:27 GMT",2024-01-18 07:39:27 00:00,0.0,start,True,standard,9.2,1.0,False,2.0,3,Gaming Frequency,mcq,Gaming Frequency,How often do you play video games?,True,0:::1:::2:::3:::4,Every day:::A few times a week:::Once a month:::Rarely:::Never,1,A few times a week
B3QHTCHNCMXQ4H,True,task1,batch1,unit_0,1,Next,"Thu, 18 Jan 2024 07:39:27 GMT",2024-01-18 07:39:27 00:00,0.0,start,True,standard,9.2,1.0,False,3.0,4,Reliance on Reviews,mcq,Reliance on Reviews,How likely are you to write reviews for products purchased online?,True,0:::1:::2:::3:::4,Always (for almost all products):::Often (for 80% of products):::Occasionally (for 50% of products):::Rarely (for 20% of products):::Never (I'm not interested in writing reviews),3,Rarely (for 20% of products)
B3QHTCHNCMXQ4H,True,task1,batch1,unit_0,1,Next,"Thu, 18 Jan 2024 07:39:27 GMT",2024-01-18 07:39:27 00:00,0.0,start,True,standard,9.2,1.0,False,4.0,5,Trust in Reviews,mcq,Trust in Reviews,How inclined are you to base the purchase of an online product on others' reviews?,True,0:::1:::2:::3:::4,"Very inclined (yes, I decisively base my choices):::Quite inclined (yes, they influence my purchase decision):::Moderately inclined (yes, I consider them but not only):::Not very inclined (no, I consider other factors):::Not at all inclined (no, they do not influence my purchase)",1,"Quite inclined (yes, they influence my purchase decision)"
B3QHTCHNCMXQ4H,True,task1,batch1,unit_0,1,Next,"Thu, 18 Jan 2024 07:39:29 GMT",2024-01-18 07:39:29 00:00,1.0,start,True,standard,2.47,1.0,False,0.0,1,Check,mcq,Check,"Which of these is one of the most famous game series developed by Nintendo, where the main character has a red hat and a mustache?",True,0:::1:::2:::3,Halo:::Super Mario:::Call Of Duty:::Grand Theft Auto,1,Super Mario
CNZQBVRXLWYZG8,True,task1,batch1,unit_12,1,Next,"Wed, 17 Jan 2024 20:27:21 GMT",2024-01-17 20:27:21 00:00,0.0,start,True,standard,37.84,1.0,False,0.0,1,Age,mcq,Age,What is your age? Please select the corresponding range.,True,0:::1:::2:::3:::4:::5,Under 18:::18-24:::25-34:::35-44:::45-54:::Over 54,1,18-24
CNZQBVRXLWYZG8,True,task1,batch1,unit_12,1,Next,"Wed, 17 Jan 2024 20:27:21 GMT",2024-01-17 20:27:21 00:00,0.0,start,True,standard,37.84,1.0,False,1.0,2,Gender,mcq,Gender,What is your gender? Please select the corresponding answer.,True,0:::1:::2,Male:::Female:::Prefer not to say,0,Male
CNZQBVRXLWYZG8,True,task1,batch1,unit_12,1,Next,"Wed, 17 Jan 2024 20:27:21 GMT",2024-01-17 20:27:21 00:00,0.0,start,True,standard,37.84,1.0,False,2.0,3,Gaming Frequency,mcq,Gaming Frequency,How often do you play video games?,True,0:::1:::2:::3:::4,Every day:::A few times a week:::Once a month:::Rarely:::Never,3,Rarely
CNZQBVRXLWYZG8,True,task1,batch1,unit_12,1,Next,"Wed, 17 Jan 2024 20:27:21 GMT",2024-01-17 20:27:21 00:00,0.0,start,True,standard,37.84,1.0,False,3.0,4,Reliance on Reviews,mcq,Reliance on Reviews,How likely are you to write reviews for products purchased online?,True,0:::1:::2:::3:::4,Always (for almost all products):::Often (for 80% of products):::Occasionally (for 50% of products):::Rarely (for 20% of products):::Never (I'm not interested in writing reviews),3,Rarely (for 20% of products)
CNZQBVRXLWYZG8,True,task1,batch1,unit_12,1,Next,"Wed, 17 Jan 2024 20:27:21 GMT",2024-01-17 20:27:21 00:00,0.0,start,True,standard,37.84,1.0,False,4.0,5,Trust in Reviews,mcq,Trust in Reviews,How inclined are you to base the purchase of an online product on others' reviews?,True,0:::1:::2:::3:::4,"Very inclined (yes, I decisively base my choices):::Quite inclined (yes, they influence my purchase decision):::Moderately inclined (yes, I consider them but not only):::Not very inclined (no, I consider other factors):::Not at all inclined (no, they do not influence my purchase)",1,"Quite inclined (yes, they influence my purchase decision)"
CNZQBVRXLWYZG8,True,task1,batch1,unit_12,1,Next,"Wed, 17 Jan 2024 20:27:25 GMT",2024-01-17 20:27:25 00:00,1.0,start,True,standard,3.63,1.0,False,0.0,1,Check,mcq,Check,"Which of these is one of the most famous game series developed by Nintendo, where the main character has a red hat and a mustache?",True,0:::1:::2:::3,Halo:::Super Mario:::Call Of Duty:::Grand Theft Auto,1,Super Mario
DLNY6ZIJOABZLJ,True,task1,batch1,unit_2,1,Next,"Wed, 17 Jan 2024 14:52:48 GMT",2024-01-17 14:52:48 00:00,0.0,start,True,standard,51.3,1.0,False,0.0,1,Age,mcq,Age,What is your age? Please select the corresponding range.,True,0:::1:::2:::3:::4:::5,Under 18:::18-24:::25-34:::35-44:::45-54:::Over 54,1,18-24
DLNY6ZIJOABZLJ,True,task1,batch1,unit_2,1,Next,"Wed, 17 Jan 2024 14:52:48 GMT",2024-01-17 14:52:48 00:00,0.0,start,True,standard,51.3,1.0,False,1.0,2,Gender,mcq,Gender,What is your gender? Please select the corresponding answer.,True,0:::1:::2,Male:::Female:::Prefer not to say,1,Female
DLNY6ZIJOABZLJ,True,task1,batch1,unit_2,1,Next,"Wed, 17 Jan 2024 14:52:48 GMT",2024-01-17 14:52:48 00:00,0.0,start,True,standard,51.3,1.0,False,2.0,3,Gaming Frequency,mcq,Gaming Frequency,How often do you play video games?,True,0:::1:::2:::3:::4,Every day:::A few times a week:::Once a month:::Rarely:::Never,4,Never
DLNY6ZIJOABZLJ,True,task1,batch1,unit_2,1,Next,"Wed, 17 Jan 2024 14:52:48 GMT",2024-01-17 14:52:48 00:00,0.0,start,True,standard,51.3,1.0,False,3.0,4,Reliance on Reviews,mcq,Reliance on Reviews,How likely are you to write reviews for products purchased online?,True,0:::1:::2:::3:::4,Always (for almost all products):::Often (for 80% of products):::Occasionally (for 50% of products):::Rarely (for 20% of products):::Never (I'm not interested in writing reviews),3,Rarely (for 20% of products)
DLNY6ZIJOABZLJ,True,task1,batch1,unit_2,1,Next,"Wed, 17 Jan 2024 14:52:48 GMT",2024-01-17 14:52:48 00:00,0.0,start,True,standard,51.3,1.0,False,4.0,5,Trust in Reviews,mcq,Trust in Reviews,How inclined are you to base the purchase of an online product on others' reviews?,True,0:::1:::2:::3:::4,"Very inclined (yes, I decisively base my choices):::Quite inclined (yes, they influence my purchase decision):::Moderately inclined (yes, I consider them but not only):::Not very inclined (no, I consider other factors):::Not at all inclined (no, they do not influence my purchase)",1,"Quite inclined (yes, they influence my purchase decision)"
DLNY6ZIJOABZLJ,True,task1,batch1,unit_2,1,Next,"Wed, 17 Jan 2024 14:52:55 GMT",2024-01-17 14:52:55 00:00,1.0,start,True,standard,7.27,1.0,False,0.0,1,Check,mcq,Check,"Which of these is one of the most famous game series developed by Nintendo, where the main character has a red hat and a mustache?",True,0:::1:::2:::3,Halo:::Super Mario:::Call Of Duty:::Grand Theft Auto,1,Super Mario
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,Next,"Tue, 16 Jan 2024 18:25:01 GMT",2024-01-16 18:25:01 00:00,0.0,start,True,standard,21.57,1.0,False,0.0,1,Age,mcq,Age,What is your age? Please select the corresponding range.,True,0:::1:::2:::3:::4:::5,Under 18:::18-24:::25-34:::35-44:::45-54:::Over 54,2,25-34
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,Next,"Tue, 16 Jan 2024 18:25:01 GMT",2024-01-16 18:25:01 00:00,0.0,start,True,standard,21.57,1.0,False,1.0,2,Gender,mcq,Gender,What is your gender? Please select the corresponding answer.,True,0:::1:::2,Male:::Female:::Prefer not to say,0,Male
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,Next,"Tue, 16 Jan 2024 18:25:01 GMT",2024-01-16 18:25:01 00:00,0.0,start,True,standard,21.57,1.0,False,2.0,3,Gaming Frequency,mcq,Gaming Frequency,How often do you play video games?,True,0:::1:::2:::3:::4,Every day:::A few times a week:::Once a month:::Rarely:::Never,2,Once a month
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,Next,"Tue, 16 Jan 2024 18:25:01 GMT",2024-01-16 18:25:01 00:00,0.0,start,True,standard,21.57,1.0,False,3.0,4,Reliance on Reviews,mcq,Reliance on Reviews,How likely are you to write reviews for products purchased online?,True,0:::1:::2:::3:::4,Always (for almost all products):::Often (for 80% of products):::Occasionally (for 50% of products):::Rarely (for 20% of products):::Never (I'm not interested in writing reviews),2,Occasionally (for 50% of products)
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,Next,"Tue, 16 Jan 2024 18:25:01 GMT",2024-01-16 18:25:01 00:00,0.0,start,True,standard,21.57,1.0,False,4.0,5,Trust in Reviews,mcq,Trust in Reviews,How inclined are you to base the purchase of an online product on others' reviews?,True,0:::1:::2:::3:::4,"Very inclined (yes, I decisively base my choices):::Quite inclined (yes, they influence my purchase decision):::Moderately inclined (yes, I consider them but not only):::Not very inclined (no, I consider other factors):::Not at all inclined (no, they do not influence my purchase)",0,"Very inclined (yes, I decisively base my choices)"
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,Next,"Tue, 16 Jan 2024 18:25:10 GMT",2024-01-16 18:25:10 00:00,1.0,start,True,standard,8.98,1.0,False,0.0,1,Check,mcq,Check,"Which of these is one of the most famous game series developed by Nintendo, where the main character has a red hat and a mustache?",True,0:::1:::2:::3,Halo:::Super Mario:::Call Of Duty:::Grand Theft Auto,1,Super Mario
ISGHMQO0AXKFXS,True,task1,batch1,unit_3,1,Next,"Wed, 17 Jan 2024 15:24:26 GMT",2024-01-17 15:24:26 00:00,0.0,start,True,standard,23.09,1.0,False,0.0,1,Age,mcq,Age,What is your age? Please select the corresponding range.,True,0:::1:::2:::3:::4:::5,Under 18:::18-24:::25-34:::35-44:::45-54:::Over 54,1,18-24
ISGHMQO0AXKFXS,True,task1,batch1,unit_3,1,Next,"Wed, 17 Jan 2024 15:24:26 GMT",2024-01-17 15:24:26 00:00,0.0,start,True,standard,23.09,1.0,False,1.0,2,Gender,mcq,Gender,What is your gender? Please select the corresponding answer.,True,0:::1:::2,Male:::Female:::Prefer not to say,0,Male
ISGHMQO0AXKFXS,True,task1,batch1,unit_3,1,Next,"Wed, 17 Jan 2024 15:24:26 GMT",2024-01-17 15:24:26 00:00,0.0,start,True,standard,23.09,1.0,False,2.0,3,Gaming Frequency,mcq,Gaming Frequency,How often do you play video games?,True,0:::1:::2:::3:::4,Every day:::A few times a week:::Once a month:::Rarely:::Never,3,Rarely
ISGHMQO0AXKFXS,True,task1,batch1,unit_3,1,Next,"Wed, 17 Jan 2024 15:24:26 GMT",2024-01-17 15:24:26 00:00,0.0,start,True,standard,23.09,1.0,False,3.0,4,Reliance on Reviews,mcq,Reliance on Reviews,How likely are you to write reviews for products purchased online?,True,0:::1:::2:::3:::4,Always (for almost all products):::Often (for 80% of products):::Occasionally (for 50% of products):::Rarely (for 20% of products):::Never (I'm not interested in writing reviews),2,Occasionally (for 50% of products)
ISGHMQO0AXKFXS,True,task1,batch1,unit_3,1,Next,"Wed, 17 Jan 2024 15:24:26 GMT",2024-01-17 15:24:26 00:00,0.0,start,True,standard,23.09,1.0,False,4.0,5,Trust in Reviews,mcq,Trust in Reviews,How inclined are you to base the purchase of an online product on others' reviews?,True,0:::1:::2:::3:::4,"Very inclined (yes, I decisively base my choices):::Quite inclined (yes, they influence my purchase decision):::Moderately inclined (yes, I consider them but not only):::Not very inclined (no, I consider other factors):::Not at all inclined (no, they do not influence my purchase)",0,"Very inclined (yes, I decisively base my choices)"
